row_id,architecture,source_s,method,top1_pct,delta_pp,dense_macs,mac_reduction_pct,theoretical_mac_speedup_x,paper_speedup_current,measured_native_incremental_speedup_x,dense_ips,sparse_ips,converted_layers,skipped_layers,a40_backend_audit_available,a40_backend_kind,a40_dense_endpoint,a40_sparse_endpoint,a40_dense_ips,a40_sparse_ips,a40_deploy_speedup_x,a40_native_conv_ips,a40_end_to_end_vs_native_conv_x,a40_converted_layers,a40_equiv_max_abs_diff,a40_equiv_mean_abs_diff,deployability_class,recommended_table_speedup,checkpoint_exists,checkpoint_status,tensor_audit_available,weight_sparsity,linear_native_2_4_convertible_exact,conv_flat_2_4_exact,conv_tensorrt_2_4_exact,conv_tensorrt_2_4_eligible_layers,conv_tensorrt_2_4_bad_groups,native_deployability_interpretation,notes,checkpoint_path,result_json
resnet50_cast_816,ResNet50,dense,CAST 8:16 dense+perm,75.87,-0.26,4.09G,50.0,2.0,2.00x theor.,,,,,0,False,,,,,,,,,,,,conv_structured_mac_accounting_only_not_native_2_4,2.00x theoretical MAC only; no native measured sparse-kernel speedup,True,final post-FT checkpoint located,True,0.4597,False,False,False,52,1755920,not_native_linear_2_4,8:16 Conv2d structure requires a separate backend to become a wall-clock speed claim.,C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet50.tv_in1k\student_final.pt,
resnet50d_cast_conv,ResNet50d,0.35,CAST-conv,78.08,-2.47,4.33G,49.85,1.994,1.99x theor.,,,,,0,False,,,,,,,,,,,,conv_structured_mac_accounting_only_checkpoint_missing,1.99x theoretical MAC only; no native sparse Conv2d speedup,False,paper validation number located in final_eval; checkpoint not present in local artifact directory,False,,,,,,,,The local M2_resnet50d artifact includes eval/stat files but no checkpoint file.,,
resnet50d_cast_conv_perm,ResNet50d,0.35,CAST-conv+perm,78.0,-2.55,4.33G,49.85,1.994,1.99x theor.,,,,,0,True,conv_exact_im2col_2_4,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,445.2,666.2,1.496,1790.0,0.372,52,0.008661,0.001216,conv_structured_mac_accounting_only_not_native_sparse_kernel,1.99x theoretical MAC only; no native sparse Conv2d speedup,True,final post-FT checkpoint located,True,0.4599,False,True,False,54,904895,not_native_linear_2_4,"Checkpoint has exact flattened Conv2d 2:4, but no native sparse Conv2d backend was benchmarked.",C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_2_resnet50d.ra2_in1k\epoch3.pt,
resnet50d_cast_816,ResNet50d,dense,CAST 8:16 dense+perm,78.57,-1.98,4.33G,50.0,2.0,2.00x theor.,,,,,0,False,,,,,,,,,,,,conv_structured_mac_accounting_only_not_native_2_4,2.00x theoretical MAC only; no native measured sparse-kernel speedup,True,final post-FT checkpoint located,True,0.4599,False,False,False,54,1742537,not_native_linear_2_4,8:16 Conv2d structure requires a separate backend to become a wall-clock speed claim.,C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet50d.ra2_in1k\student_final.pt,
resnet101d_cast_conv,ResNet101d,0.35,CAST-conv,80.13,-2.13,8.0G,50.0,2.0,~2.00x theor.,,,,,0,False,,,,,,,,,,,,conv_structured_mac_accounting_only_checkpoint_missing,2.00x theoretical MAC only; no native sparse Conv2d speedup,False,paper validation number located in logs; final checkpoint not located locally,False,,,,,,,,No standard PyTorch/NVIDIA 2:4 sparse Conv2d path was benchmarked for this row.,,
resnet101d_cast_conv_perm,ResNet101d,0.35,CAST-conv+perm,80.59,-1.67,8.0G,50.0,2.0,~2.00x theor.,,,,,0,True,conv_exact_im2col_2_4,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,228.2,357.8,1.568,937.9,0.381,103,0.015942,0.002095,conv_structured_mac_accounting_only_not_native_sparse_kernel,2.00x theoretical MAC only; no native sparse Conv2d speedup,True,final post-FT checkpoint located,True,0.477,False,True,False,105,1700005,not_native_linear_2_4,"Checkpoint has exact flattened Conv2d 2:4, but no native sparse Conv2d backend was benchmarked.",C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_3_resnet101d.ra2_in1k\epoch3.pt,
resnet101d_cast_816,ResNet101d,dense,CAST 8:16 dense+perm,80.92,-1.34,8.0G,50.0,2.0,2.00x theor.,,,,,0,False,,,,,,,,,,,,conv_structured_mac_accounting_only_not_native_2_4,2.00x theoretical MAC only; no native measured sparse-kernel speedup,True,final post-FT checkpoint located,True,0.477,False,False,False,105,3182676,not_native_linear_2_4,8:16 Conv2d structure requires a separate backend to become a wall-clock speed claim.,C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet101d.ra2_in1k\student_final.pt,
resnet152d_cast_conv_perm,ResNet152d,0.35,CAST-conv+perm,81.33,-1.53,11.8G,50.0,2.0,~2.00x theor.,,,,,0,True,conv_exact_im2col_2_4,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,159.9,258.7,1.617,670.4,0.386,154,0.006003,0.000907,conv_structured_mac_accounting_only_not_native_sparse_kernel,2.00x theoretical MAC only; no native sparse Conv2d speedup,True,final post-FT checkpoint located,True,0.4829,False,True,False,156,2356907,not_native_linear_2_4,"Checkpoint has exact flattened Conv2d 2:4, but no native sparse Conv2d backend was benchmarked.",C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_4_resnet152d.ra2_in1k\epoch3.pt,
convnextv2_cast_24,ConvNeXtV2-Base,0.35,CAST 2:4 cert + free-restore,85.47,-1.25,15.4G,50.0,2.0,1.086x meas.,1.086,443.0,481.2,72,1,True,linear_native_2_4,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,512.3,644.1,1.257,,,72,,,native_linear_2_4_measured,1.086x measured native,True,final post-FT checkpoint located,True,0.4794,True,False,False,3,688128,native_linear_2_4_candidate_with_skipped_shapes,Native sparse conversion reports 72 converted Linear pointwise layers and one skipped classifier head.,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_canonical\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_2to4_tome_r0_post_ft.pt,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_canonical\results.json
convnextv2_cast_1216,ConvNeXtV2-Base,dense,CAST 12:16 dense+perm (25% sparse),86.35,-0.37,15.4G,25.0,1.333,1.33x theor.,,1003.7,,,0,False,,,,,,,,,,,,accuracy_row_checkpoint_saved_dense_no_sparse_weights,1.33x theoretical MAC only; no native measured sparse-kernel speedup,True,"final post-FT checkpoint located, but tensor audit shows no zeros in saved weights",True,0.0,False,False,False,3,688128,not_native_linear_2_4,"The saved final checkpoint audited as dense, so this row should not be presented as a deployable sparse checkpoint without the mask/runtime artifact.",C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d1216\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_d1216_tome_r0_post_ft.pt,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d1216\results.json
convnextv2_cast_816,ConvNeXtV2-Base,dense,CAST 8:16 dense+perm (50% sparse),85.85,-0.87,15.4G,50.0,2.0,2.00x theor.,,1004.7,,,0,False,,,,,,,,,,,,accuracy_row_checkpoint_saved_dense_no_sparse_weights,2.00x theoretical MAC only; no native measured sparse-kernel speedup,True,"final post-FT checkpoint located, but tensor audit shows no zeros in saved weights",True,0.0,False,False,False,3,688128,not_native_linear_2_4,"The saved final checkpoint audited as dense, so this row should not be presented as a deployable sparse checkpoint without the mask/runtime artifact.",C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d816\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_d816_tome_r0_post_ft.pt,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d816\results.json
