row_id,architecture,method,top1_pct,delta_pp,dense_macs_paper,mac_reduction_pct,theoretical_mac_speedup_x,best_a40_deploy_speedup_x,checkpoint_exists_local,checkpoint_status,tensor_weight_sparsity,native_linear_2_4_convertible_exact,conv_flat_2_4_exact,conv_tensorrt_2_4_exact,deployability_class,checkpoint_path
resnet50_cast_816,ResNet50,CAST 8:16 dense+perm,75.87,-0.26,4.09G,50.0,2.0,,True,final post-FT checkpoint located,0.4597,False,False,False,conv_structured_mac_accounting_only_not_native_2_4,C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet50.tv_in1k\student_final.pt
resnet50d_cast_conv,ResNet50d,CAST-conv,78.08,-2.47,4.33G,49.85,1.994,,False,paper validation number located in final_eval; checkpoint not present in local artifact directory,,,,,conv_structured_mac_accounting_only_checkpoint_missing,
resnet50d_cast_conv_perm,ResNet50d,CAST-conv+perm,78.0,-2.55,4.33G,49.85,1.994,1.496,True,final post-FT checkpoint located,0.4599,False,True,False,conv_structured_mac_accounting_only_not_native_sparse_kernel,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_2_resnet50d.ra2_in1k\epoch3.pt
resnet50d_cast_816,ResNet50d,CAST 8:16 dense+perm,78.57,-1.98,4.33G,50.0,2.0,,True,final post-FT checkpoint located,0.4599,False,False,False,conv_structured_mac_accounting_only_not_native_2_4,C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet50d.ra2_in1k\student_final.pt
resnet101d_cast_conv,ResNet101d,CAST-conv,80.13,-2.13,8.0G,50.0,2.0,,False,paper validation number located in logs; final checkpoint not located locally,,,,,conv_structured_mac_accounting_only_checkpoint_missing,
resnet101d_cast_conv_perm,ResNet101d,CAST-conv+perm,80.59,-1.67,8.0G,50.0,2.0,1.568,True,final post-FT checkpoint located,0.477,False,True,False,conv_structured_mac_accounting_only_not_native_sparse_kernel,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_3_resnet101d.ra2_in1k\epoch3.pt
resnet101d_cast_816,ResNet101d,CAST 8:16 dense+perm,80.92,-1.34,8.0G,50.0,2.0,,True,final post-FT checkpoint located,0.477,False,False,False,conv_structured_mac_accounting_only_not_native_2_4,C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet101d.ra2_in1k\student_final.pt
resnet152d_cast_conv_perm,ResNet152d,CAST-conv+perm,81.33,-1.53,11.8G,50.0,2.0,1.617,True,final post-FT checkpoint located,0.4829,False,True,False,conv_structured_mac_accounting_only_not_native_sparse_kernel,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_4_resnet152d.ra2_in1k\epoch3.pt
convnextv2_cast_24,ConvNeXtV2-Base,CAST 2:4 cert + free-restore,85.47,-1.25,15.4G,50.0,2.0,1.257,True,final post-FT checkpoint located,0.4794,True,False,False,native_linear_2_4_measured,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_canonical\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_2to4_tome_r0_post_ft.pt
convnextv2_cast_1216,ConvNeXtV2-Base,CAST 12:16 dense+perm (25% sparse),86.35,-0.37,15.4G,25.0,1.333,,True,"final post-FT checkpoint located, but tensor audit shows no zeros in saved weights",0.0,False,False,False,accuracy_row_checkpoint_saved_dense_no_sparse_weights,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d1216\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_d1216_tome_r0_post_ft.pt
convnextv2_cast_816,ConvNeXtV2-Base,CAST 8:16 dense+perm (50% sparse),85.85,-0.87,15.4G,50.0,2.0,,True,"final post-FT checkpoint located, but tensor audit shows no zeros in saved weights",0.0,False,False,False,accuracy_row_checkpoint_saved_dense_no_sparse_weights,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d816\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_d816_tome_r0_post_ft.pt
